seg_id,youtube_id,sentence,verb_pre_mapping,adverb_pre_mapping,clustered_verb,clustered_adverb,start_time,end_time,duration,rgb_frames,verb_label,adverb_label
PpxgEDP5pFU_78-84,PpxgEDP5pFU,gently mix,mix,gently,mix,gently,78.1,84.2,6,181,0,0
xjXnNw9SG38_408-416,xjXnNw9SG38,capers roughly chop,chop,roughly,chop,coarsely,408.6,416.2,7.6,241,1,4
-dCpaDYGJec_208-214,-dCpaDYGJec,use thing cut pepper thinly,cut,thinly,cut,finely,208.8,214.8,5.9,150,11,2
DubOCvE1uYo_185-199,DubOCvE1uYo,sorry beat r8 quickly,beat,quickly,beat,quickly,185.7,199.2,13.6,421,14,3
432Lsvqc1p0_552-557,432Lsvqc1p0,avocado gently sort fold make,fold,gently,fold,gently,552.1,557.2,5.1,152,5,0
xrGoiSsMDms_49-54,xrGoiSsMDms,stir slowly,stir,slowly,stir,slowly,49.4,54.8,5.4,126,2,1
JOKrK6wm9Jc_218-224,JOKrK6wm9Jc,gently fold good stuff nice into,fold,gently,fold,gently,218.3,224.7,6.5,180,5,0
wKKeyIJIzxQ_193-198,wKKeyIJIzxQ,delicately mix,mix,delicately,mix,gently,193.1,198.9,5.8,125,0,0
L1bMT7VF0Sw_173-186,L1bMT7VF0Sw,flour corn flour flatten lightly,flatten,lightly,flatten,gently,173.9,186.9,12.9,326,32,0
P_X7qt60Cns_21-27,P_X7qt60Cns,thing lightly press tail break,press,lightly,press,gently,21.8,27.1,5.2,181,4,0
bXQYWT-zN4I_138-143,bXQYWT-zN4I,melts quite rapidly mix,mix,rapidly,mix,quickly,138.1,143.8,5.7,150,0,3
W0qQKNv0Ktg_340-346,W0qQKNv0Ktg,gently press fondant holes chocolate edges,press,gently,press,gently,340.4,346.2,5.8,151,4,0
tkMgVOiCVXs_1012-1017,tkMgVOiCVXs,mess lightly drizzle frosting cookies,drizzle,lightly,drizzle,gently,1012.9,1018,5.1,150,21,0
BlWNa7kwnbI_172-178,BlWNa7kwnbI,add fall egg quickly mix,mix,quickly,mix,quickly,172.3,178.6,6.3,151,0,3
el2oUkFgKUI_174-180,el2oUkFgKUI,half inches rim quickly dip,dip,quickly,dip,quickly,174.8,180.7,5.9,150,31,3
C8aZ783k5oY_170-177,C8aZ783k5oY,gently fold,fold,gently,fold,gently,170.2,177.9,7.7,211,5,0
WRd4k3jSRZs_449-456,WRd4k3jSRZs,plate flip gently,flip,gently,flip,gently,449.2,456.7,7.5,210,19,0
DOnE7pw32rY_1-8,DOnE7pw32rY,bottoms finely mince,mince,finely,mince,finely,46.3,55.7,9.4,240,26,2
g_s14LBt1es_286-294,g_s14LBt1es,wet ingredients slowly mix ready,mix,slowly,mix,slowly,286.7,294.3,7.6,240,0,1
fpmMwyEQhKY_404-431,fpmMwyEQhKY,roll thinly use desserts,roll,thinly,roll,finely,404.1,431.6,27.5,810,6,2
7nuRcAJgl9c_156-161,7nuRcAJgl9c,press dough gently make fit into pan stab multiple times fork,press,gently,press,gently,156.1,161.1,5,126,4,0
fuPjxh3MCiE_213-225,fuPjxh3MCiE,friends add sabudana stir lightly,stir,lightly,stir,gently,213.6,225.6,12,300,2,0
xVfAblgEhnI_1223-1228,xVfAblgEhnI,lightly spraying make thing covered,spray,lightly,spray,gently,1223.5,1228.5,5,150,23,0
Eu7zSOex2aM_153-158,Eu7zSOex2aM,mortar pestle ground coarsely mix,mix,coarsely,mix,coarsely,153.3,158.8,5.5,151,0,4
bZ-9P7n2QLA_109-117,bZ-9P7n2QLA,lightly mix,mix,lightly,mix,gently,109.9,117.1,7.2,240,0,0
uSceuOOLMsI_406-413,uSceuOOLMsI,hours making pizza fold gently times rise room temperature,fold,gently,fold,gently,406.3,413.6,7.2,210,5,0
jTQU4ParQHY_30-39,jTQU4ParQHY,gently brush,brush,gently,brush,gently,30.7,39.5,8.8,216,8,0
LIMkoRgEcck_180-186,LIMkoRgEcck,gently mix,mix,gently,mix,gently,180.6,186.8,6.1,180,0,0
vS9X2vIabpE_261-278,vS9X2vIabpE,purpose flour get stirring quickly,stir,quickly,stir,quickly,261.1,278.8,17.7,512,2,3
l9C9aksUozo_664-673,l9C9aksUozo,center gently push,push,gently,push,gently,664,673.3,9.3,270,10,0
Qm_VBrP-Agw_189-196,Qm_VBrP-Agw,gently fold crap meat into,fold,gently,fold,gently,189.4,196.4,7,208,5,0
eikjPkQy49Y_329-339,eikjPkQy49Y,lightly push,push,lightly,push,gently,329.1,339.3,10.2,250,10,0
n-7t1H5_2_I_629-635,n-7t1H5_2_I,cell pad gently push oops,push,gently,push,gently,629.2,635.1,5.9,181,10,0
yAhbBztWMBE_189-194,yAhbBztWMBE,stir gently,stir,gently,stir,gently,189.4,195,5.6,151,2,0
DSnu670BeUY_80-89,DSnu670BeUY,remove seeds capsicum chop finely,chop,finely,chop,finely,80.7,89.8,9.1,272,1,2
t8h_-bQ8JJU_105-110,t8h_-bQ8JJU,stir simmer gently,stir,gently,stir,gently,105,110.2,5.1,125,2,0
HYCuIdMRDRA_103-140,HYCuIdMRDRA,thing finely chop onions,chop,finely,chop,finely,123.6,158.6,36,449,1,2
PkTEArdTID4_134-142,PkTEArdTID4,fridge think piece roughly chop,chop,roughly,chop,coarsely,134.1,142.2,8,240,1,4
RQyKVDB2CXs_89-94,RQyKVDB2CXs,set room temperature said set quickly pour,pour,quickly,pour,quickly,89.1,94.3,5.2,120,3,3
_vLLKLiiz2Q_123-129,_vLLKLiiz2Q,gently flatten into roughly,flatten,gently,flatten,gently,123.2,129.1,5.9,180,32,0
-SNJzzR7nU8_237-244,-SNJzzR7nU8,slowly whisk 1 2 cup olive oil,whisk,slowly,whisk,slowly,237.3,244.8,7.4,105,7,1
hkfFtCzzrao_5-11,hkfFtCzzrao,making condiments ll finely mince ½ onion handful cilantro,mince,finely,mince,finely,5.2,11.1,6,146,26,2
wNG2s9t7js0_65-70,wNG2s9t7js0,cups remove paper gently press into cookie dough,press,gently,press,gently,65.3,70.5,5.2,151,4,0
QMvBDBLRE3I_178-183,QMvBDBLRE3I,fun taking knife making swirls lightly mix layer,mix,lightly,mix,gently,178,183.1,5.1,151,0,0
6_FKhmCjcJU_106-112,6_FKhmCjcJU,gently push dough into corner tart,push,gently,push,gently,106.8,112,5.2,181,10,0
6bexeABBNNE_59-66,6bexeABBNNE,tablespoons rolling mixture hands press gently flatten,press,gently,press,gently,59.2,66.4,7.2,210,4,0
UNf9722cX8A_112-121,UNf9722cX8A,gently fold,fold,gently,fold,gently,112.9,121.7,8.8,226,5,0
GSRxY8L2Fz4_74-80,GSRxY8L2Fz4,cream cheese gently fold,fold,gently,fold,gently,74.5,80.2,5.7,151,5,0
Tn5Gk6QO8J4_507-516,Tn5Gk6QO8J4,gently pour way curd,pour,gently,pour,gently,507.4,516.3,8.9,270,3,0
35PxWkHDuik_108-119,35PxWkHDuik,dough into ball lightly coat oil place dough into bowl cover,coat,lightly,coat,gently,109,119.5,10.5,264,15,0
hQXPi0zOl8s_73-79,hQXPi0zOl8s,wicks whisk quickly,whisk,quickly,whisk,quickly,73.2,79.7,6.5,150,7,3
pF7ajqVk4mM_244-251,pF7ajqVk4mM,flour beat vigorously addition,beat,vigorously,beat,vigorously,244.4,251.6,7.2,175,14,6
Uwn9JJuiVfY_485-518,Uwn9JJuiVfY,stir beat stir gently,stir,gently,stir,gently,485,505,21,591,2,0
BwZKYZ_tkcU_236-242,BwZKYZ_tkcU,little real sugar trivia lightly spraying,spray,lightly,spray,gently,236.3,242.8,6.6,180,23,0
x2SoECdA9ks_85-91,x2SoECdA9ks,brush gently bow assemble,brush,gently,brush,gently,85.4,91.6,6.2,181,8,0
G8G5qSVFxC4_103-110,G8G5qSVFxC4,quickly beat eggs,beat,quickly,beat,quickly,103.1,110.8,7.6,211,14,3
TJdE1lrwfdA_598-605,TJdE1lrwfdA,gently mix,mix,gently,mix,gently,598.1,606,7.9,175,0,0
Wu2q6MPQr78_75-80,Wu2q6MPQr78,squeeze drop quickly work,squeeze,quickly,squeeze,quickly,75.4,80.6,5.2,150,16,3
4dZUsFvYRmY_147-153,4dZUsFvYRmY,petals little teaspoon sighs spoon gently shake,shake,gently,shake,gently,147.4,153.2,5.8,180,24,0
3svoEvZMM_U_96-108,3svoEvZMM_U,slowly cover,cover,slowly,cover,slowly,96.5,109,12.4,288,9,1
hD-kt_VjvqE_120-130,hD-kt_VjvqE,gently fold,fold,gently,fold,gently,120.8,130,9.2,251,5,0
b1iBEap52fw_58-67,b1iBEap52fw,starchy taste flour step 3 slowly whisk milk into flour mixture,whisk,slowly,whisk,slowly,58.8,67.5,8.7,216,7,1
bPAkLVCu_ds_128-137,bPAkLVCu_ds,wrap tightly,wrap,tightly,wrap,tightly,128.3,137.4,9.1,226,17,5
4NvT6xw75a8_608-619,4NvT6xw75a8,mix quickly,mix,quickly,mix,quickly,608.4,619.1,10.7,275,0,3
wDOBvZoM0Cc_81-89,wDOBvZoM0Cc,gently wrap frigerator,wrap,gently,wrap,gently,81.4,89.5,8.1,239,17,0
uDblziqQxcA_640-662,uDblziqQxcA,offset spatula gently spread chocolate caramel good,spread,gently,spread,gently,640.3,662.5,22.2,529,13,0
ui8L0kzEJao_188-194,ui8L0kzEJao,mix slowly minute thing,mix,slowly,mix,slowly,188.4,194.6,6.1,181,0,1
pETnrudTSkw_196-201,pETnrudTSkw,slowly stir 2 3 minutes nicely caramelized toss,stir,slowly,stir,slowly,196.5,201.7,5.1,126,2,1
AVTvLwQ82sA_283-295,AVTvLwQ82sA,gently mix,mix,gently,mix,gently,283.9,295.4,11.6,300,0,0
wY9Ba-rZliI_209-214,wY9Ba-rZliI,seeds coarsely chop,chop,coarsely,chop,coarsely,209.6,214.8,5.2,151,1,4
vxwhK7yrtao_163-171,vxwhK7yrtao,gently toss closing,toss,gently,toss,gently,163.6,171.4,7.9,191,12,0
KlIXues2mx4_866-874,KlIXues2mx4,stir slowly combined melt,stir,slowly,stir,slowly,867,874.8,7.8,241,2,1
GJJI5lHS5NQ_76-82,GJJI5lHS5NQ,quickly stir work,stir,quickly,stir,quickly,76,82.4,6.4,181,2,3
kSQk2uXhjR8_86-92,kSQk2uXhjR8,inches get nice coating gently pat wrap roast,pat,gently,pat,gently,86.4,92.5,6,181,30,0
0UE0ISLVQD4_354-361,0UE0ISLVQD4,gently mix salt cream spread cream,mix,gently,mix,gently,354.8,361.7,6.9,211,0,0
kZCJwqFqiew_177-182,kZCJwqFqiew,into mold place short strip lightly press freeze,press,lightly,press,gently,177.1,182.3,5.2,126,4,0
cWM_G9xnI7U_71-92,cWM_G9xnI7U,juice garnishing broccoli cooked lightly mash,mash,lightly,mash,gently,71.2,92.1,20.9,630,34,0
FxKeUiU5LOQ_258-266,FxKeUiU5LOQ,greased cartons lightly roll,roll,lightly,roll,gently,258.9,266.8,7.9,200,6,0
rYcCk3s-yTQ_119-124,rYcCk3s-yTQ,generous tablespoons mixture gently squeeze into ball place,squeeze,gently,squeeze,gently,119.5,124.7,5.3,125,16,0
k9M4VfBaLqU_39-45,k9M4VfBaLqU,quickly dip into batter,dip,quickly,dip,quickly,39.6,45.4,5.9,90,31,3
Lc4Jju75ROs_174-180,Lc4Jju75ROs,gently toss gluten,toss,gently,toss,gently,174.7,180.9,6.2,181,12,0
e9qEvFxau0M_294-301,e9qEvFxau0M,i'd tablespoons pastry brush gently brush heavy cream scone,brush,gently,brush,gently,295,301.7,6.7,168,8,0
fMcbbWRmX2c_191-199,fMcbbWRmX2c,cake rub lightly,rub,lightly,rub,gently,191.9,199.6,7.8,240,22,0
1dZ17v4n2Os_224-230,1dZ17v4n2Os,lightly press flatten,press,lightly,press,gently,224.6,230.6,6,180,4,0
_Q4Onb8ji98_260-270,_Q4Onb8ji98,gently press taste guy trying rice,press,gently,press,gently,260.6,271,10.4,300,4,0
um7nVQQMrI4_406-414,um7nVQQMrI4,brush lightly paintbrush,brush,lightly,brush,gently,406.2,414.8,8.6,240,8,0
ewNzRbbuhk8_265-273,ewNzRbbuhk8,mix gently paneer pieces,mix,gently,mix,gently,266,273.5,7.5,200,0,0
Nlu5wYkrHts_222-228,Nlu5wYkrHts,granulated garlic lot granulated garlic granulated onion gently mix,mix,gently,mix,gently,222.2,228.4,6.2,180,0,0
npXmfCmPh9M_174-180,npXmfCmPh9M,little pat gently rolling,roll,gently,roll,gently,174.6,180.2,5.6,150,6,0
j9JYp4ZpsH8_201-208,j9JYp4ZpsH8,gently mix,mix,gently,mix,gently,201.7,208,6.3,210,0,0
vA8toicbUag_151-156,vA8toicbUag,coat lightly,coat,lightly,coat,gently,151.2,157,5.8,75,15,0
FffLNuzk-IE_94-103,FffLNuzk-IE,mix quickly,mix,quickly,mix,quickly,95,103.6,8.6,225,0,3
n3fHVUvwq_I_580-585,n3fHVUvwq_I,office place jam pushing gently edge push shared,push,gently,push,gently,580.2,585.4,5.1,150,10,0
FW0JarBd2nU_192-202,FW0JarBd2nU,lightly mix fork whisk add,mix,lightly,mix,gently,192.6,202.5,9.9,251,0,0
4nbJsRIE_5k_185-197,4nbJsRIE_5k,mash gently add potatoes green coriander leaves,mash,gently,mash,gently,185.1,197.8,12.7,300,34,0
M7wRA3GldOw_1330-1339,M7wRA3GldOw,extremely lightly brush little tiny,brush,lightly,brush,gently,1330.3,1339.6,9.3,270,8,0
Sr5HhZjIxi0_125-132,Sr5HhZjIxi0,gently stirring,stir,gently,stir,gently,125.4,132.3,6.9,167,2,0
42nSkzvNL3M_513-524,42nSkzvNL3M,pizza lightly brush dough olive oil place light layer,brush,lightly,brush,gently,513.6,524.3,10.7,266,8,0
x9dio4rKW90_218-224,x9dio4rKW90,gently toss,toss,gently,toss,gently,218.1,224.8,6.7,180,12,0
Va1rAY_tdN0_632-641,Va1rAY_tdN0,into cornstarch pat lightly,pat,lightly,pat,gently,632.7,641.9,9.2,269,30,0
SwFFTkWRLoQ_286-293,SwFFTkWRLoQ,pan gently roll,roll,gently,roll,gently,286.9,293.7,6.8,169,6,0
lv4XJs0SNDA_58-64,lv4XJs0SNDA,gently squeeze mash,squeeze,gently,squeeze,gently,58.6,64.1,5.5,180,16,0
5wMyAr9VzqQ_149-156,5wMyAr9VzqQ,making rectangular circular cutlet mix press gently,press,gently,press,gently,149.4,156.3,6.9,169,4,0
rzaPLv0NB_g_202-209,rzaPLv0NB_g,start pour risk real slowly,pour,slowly,pour,slowly,202.2,209.3,7.1,210,3,1
j7RpI8pKMAg_72-82,j7RpI8pKMAg,lightly coat pasta olive oil,coat,lightly,coat,gently,72.5,82.2,9.8,241,15,0
mnGO2Iv2xgg_548-557,mnGO2Iv2xgg,strawberry gently pour strawberry sauce feeling he'll,pour,gently,pour,gently,548.8,557.7,8.9,225,3,0
9bmVRZEY-WI_240-247,9bmVRZEY-WI,slowly cutting meat into butter position,cut,slowly,cut,slowly,240.7,247.4,6.7,210,11,1
h3AAg88gDtQ_67-73,h3AAg88gDtQ,medium speed slowly pour syrup whisking time,pour,slowly,pour,slowly,67.3,73.7,6.4,145,3,1
HP2XJ_0g-Ik_276-281,HP2XJ_0g-Ik,drizzle slowly carefully slow slow drizzle sugar,drizzle,slowly,drizzle,slowly,276.8,282,5.2,120,21,1
H4zrAbR9kOM_289-300,H4zrAbR9kOM,paper towel gently press,press,gently,press,gently,289.1,301,11.8,275,4,0
lAtzbFsyzBo_148-157,lAtzbFsyzBo,spatula gently flatten,flatten,gently,flatten,gently,148.9,157.9,9,270,32,0
31yF43fAPoE_142-150,31yF43fAPoE,wooden spoon gently stir,stir,gently,stir,gently,142.6,150.7,8.1,240,2,0
u4ukESl6Lqo_316-321,u4ukESl6Lqo,gently mix,mix,gently,mix,gently,316,321.2,5.2,151,0,0
V2mWO_fF4B4_175-182,V2mWO_fF4B4,press lightly use knife cut,press,lightly,press,gently,175.9,182.4,6.5,176,4,0
DcbzG6iUprg_214-220,DcbzG6iUprg,gently fold cup half fresh blueberries use,fold,gently,fold,gently,214.7,220.2,5.5,180,5,0
JPX6KIM9ouw_293-300,JPX6KIM9ouw,gently brush dry paintbrush,brush,gently,brush,gently,293.9,300.6,6.7,175,8,0
